Station_Name,Train_Count
AMBIKA KALNA,56
TUGALAKABAD,56
KOVILPATTI,56
KASGANJ JN.,56
LUNI JN.,56
CHANDRAPURA,56
GOCHARAN,56
AMETHI,56
JAYNAGAR MAJ,56
BAHARU F,56
HOTAR,56
MATHURAPUR R,56
BADKULLA,56
DHAPDHAPI,56
BIRNAGAR,56
MANGALORE CE,56
KALYANPUR,56
DAYA BASTI,56
TAHERPUR,56
DAKSHIN DURG,56
GANGAPUR CIT,56
OTTAPPALAM,56
VIVEKANANDPU,56
DAKSHIN BARA,56
HAJIGARH,56
BOLARUM,56
SURJYAPUR,56
PORA BAZAR,56
SUBZI MANDI,56
DURGAPURA,55
CHIPLUN,55
TUNI,55
KAVALI,55
JAKHAL JN.,55
HOGLAHALT E,55
MASAGRAM,55
JAMNAGAR,55
CHHEOKI,55
VIVEK VIHAR,55
PENDRA ROAD,54
AMLA JN.,54
UTTAR RADHAN,54
KHUSROPUR,54
DEULA,54
DHAMUA,54
BARHARWA JN.,54
SATUR,54
NABAGRAM,54
DIAMOND HARB,54
BAYANA,54
UDHNA JN.,54
NETRA,54
BASULDANGA,54
PIMPRI,54
CHITTOOR,54
YADGIR,54
PARASNATH,54
SAGAULI JN.,54
OKHLA,54
JHAPANDANGA,54
SAHIBGANJ,54
MADHABPUR,54
JAUGRAM,54
PALGHAR,53
CHANGANACHER,53
LONDA JN.,53
MAHEMADAVAD,53
YERRA GUNTLA,53
MEDCHAL,53
BISHNUPUR,53
HARIHAR JN.,53
SABARMATI JN,53
GURUDAS NAGA,53
BELGAUM,53
ACHHNERA JN.,52
BURHANPUR,52
PHILLAUR JN.,52
RASULPUR,52
SRI KALAHAST,52
MELMARUVATHU,52
PALSIT,52
EGATTUR,52
DEHU ROAD,52
KHURJA JN,52
UDHAMPUR,52
PANA GARH,52
JANGHAI JN.,52
PATHANKOT JN,52
BETHERIA GHO,52
VARKALA,52
THIVIM,51
AMROHA,51
PAYYANUR,51
YELAHANKA JN,50
SHIKOHABAD J,50
NARKATIAGANJ,50
HAVERI,50
MADPUR,50
KHANA JN.,50
GIRI MAIDAN,50
HOSHANGABAD,50
SAHARSA JN.,50
DONGAR GARH,50
TINPAHAR JN.,50
JAMUI,50
WHITE FIELD,50
DAUSA,49
KHIRAI,49
FARIDABAD NE,49
JALESWAR,49
BELLAMPALLI,49
TIPTUR,49
BHIWANI JN.,49
VANCHI MANIY,49
SHYAM CHAK,49
CHATRAPUR,49
GANJ BASODA,49
JOYCHANDI PA,49
SAKHIGOPAL,48
CHALISGAON J,48
MIRYALAGUDA,48
DAPODI,48
KESINGA,48
GOKULPUR,48
NALGONDA,48
SILIGURI JN.,48
MEGHNAGAR,48
ASAOTI,48
KARUNAGAPPAL,48
BHIWANDI ROA,48
AKURDI,48
RANIBENNUR,48
KENGERI,48
JAKPUR,48
DHENKANAL,48
ANGAMALI (FO,48
MUMBAI CENTR,48
PULIYAMANGAL,47
HATIA,47
KATNI MURWAR,47
CHALAKUDI,47
MANAVUR,47
KADUR,47
NIDUBROLU,47
GYANPUR ROAD,47
VANIYAMBADI,47
