Train_No,Route,Journey_Duration
56705,VILLUPURAM J to MADURAI JN,9 hours 10 minutes
77298,MACHERLA to BHIMAVARAM J,9 hours 10 minutes
12671,CHENNAI CENT to METTUPALAIYA,9 hours 10 minutes
12549,DURG to JAMMU TAWI,9 hours 10 minutes
52471,PATHANKOT JN to JOGINDER NAG,9 hours 10 minutes
54045,JIND JN to FIROZPUR CAN,9 hours 10 minutes
18631,RANCHI to AJMER JN.,9 hours 10 minutes
12360,PATNA JN. to KOLKATA,9 hours 10 minutes
19413,AHMEDABAD to KOLKATA,9 hours 10 minutes
19412,AJMER JN. to AHMEDABAD,9 hours 10 minutes
12082,TRIVANDRUM C to KANNUR,9 hours 10 minutes
18104,AMRITSAR JN. to TATANAGAR JN,9 hours 10 minutes
12265,DELHI-SARAI to JAMMU TAWI,9 hours 10 minutes
12081,KANNUR to TRIVANDRUM C,9 hours 10 minutes
56826,TIRUNELVELI to ERODE JN.,9 hours 10 minutes
12502,NEW DELHI to GUWAHATI,9 hours 0 minutes
22806,ANAND VIHAR to BHUBANESWAR,9 hours 0 minutes
14012,HOSHIARPUR to DELHI JN.,9 hours 0 minutes
11265,JABALPUR to AMBIKAPUR,9 hours 0 minutes
59425,NEW BHUJ to PALANPUR JN,9 hours 0 minutes
12130,HOWRAH JN. to PUNE JN.,9 hours 0 minutes
15101,CHHAPRA JN. to CST-MUMBAI,9 hours 0 minutes
12420,NEW DELHI to LUCKNOW JN.,9 hours 0 minutes
54326,KANPUR CENTR to SITAPUR CITY,9 hours 0 minutes
58220,CHIRMIRI to BILASPUR JN.,9 hours 0 minutes
12486,SHRI GANGANA to NANDED,9 hours 0 minutes
18309,SAMBALPUR JN to MURI,9 hours 0 minutes
421,LUCKNOW JN. to SHRI MATA VA,9 hours 0 minutes
14314,BAREILLY JN. to LOKMANYA TIL,9 hours 0 minutes
57123,BHADRACHALAM to SIRPUR TOWN,9 hours 0 minutes
51198,WARDHA JN. to BHUSAVAL JN.,9 hours 0 minutes
12266,JAMMU TAWI to DELHI-SARAI,9 hours 0 minutes
16576,MANGALORE JN to YESVANTPUR J,9 hours 0 minutes
15904,CHANDIGARH to DIBRUGARH,9 hours 0 minutes
15210,AMRITSAR JN. to SAHARSA JN.,8 hours 55 minutes
12086,DIBRUGARH to GUWAHATI,8 hours 55 minutes
19201,SECUNDERABAD to PORBANDAR,8 hours 55 minutes
53351,BARWADIH JN to CHUNAR JN.,8 hours 55 minutes
13162,BALURGHAT to KOLKATA,8 hours 55 minutes
22214,PATNA JN. to SHALIMAR,8 hours 55 minutes
20602,MADURAI JN to CHENNAI CENT,8 hours 55 minutes
19714,SECUNDERABAD to JAIPUR JN.,8 hours 55 minutes
13351,DHANBAD JN. to ALLEPPEY,8 hours 55 minutes
12472,SHRI MATA VA to BANDRA TERMI,8 hours 55 minutes
25658,SILCHAR to SEALDAH,8 hours 55 minutes
22954,AHMEDABAD to MUMBAI CENTR,8 hours 55 minutes
12791,SECUNDERABAD to DANAPUR,8 hours 55 minutes
82651,YESVANTPUR J to SHRI MATA VA,8 hours 55 minutes
12214,DELHI-SARAI to YESVANTPUR J,8 hours 55 minutes
12229,LUCKNOW JN. to NEW DELHI,8 hours 55 minutes
22887,HOWRAH JN. to YESVANTPUR J,8 hours 55 minutes
22953,MUMBAI CENTR to AHMEDABAD,8 hours 55 minutes
54255,VARANASI JN. to LUCKNOW JN.,8 hours 55 minutes
22836,PURI to SHALIMAR,8 hours 55 minutes
53029,AZIMGANJ JN. to BHAGALPUR,8 hours 55 minutes
58026,HATIA to KHARAGPUR,8 hours 55 minutes
50104,RATNAGIRI to DADAR,8 hours 50 minutes
63211,JASIDIH JN. to PATNA JN.,8 hours 50 minutes
11006,PONDICHERRY to DADAR,8 hours 50 minutes
15231,BARAUNI JN. to GONDIA JN.,8 hours 50 minutes
12311,HOWRAH JN. to KALKA,8 hours 50 minutes
11037,PUNE JN. to GORAKHPUR JN,8 hours 50 minutes
22814,PARADEEP to SANTRAGACHI,8 hours 50 minutes
57327,DHONE JN to GUNTUR JN.,8 hours 50 minutes
55468,BAMANHAT to SILIGURI JN.,8 hours 50 minutes
58219,BILASPUR JN. to CHIRMIRI,8 hours 50 minutes
22682,CHENNAI CENT to MYSORE JN.,8 hours 50 minutes
12803,VISAKHAPATNA to HAZRAT NIZAM,8 hours 50 minutes
12726,DHARWAD to KRANTIVIRA S,8 hours 50 minutes
64562,AMBALA CANTT to DELHI JN.,8 hours 50 minutes
11449,JABALPUR to SHRI MATA VA,8 hours 50 minutes
12882,PURI to HOWRAH JN.,8 hours 50 minutes
51612,BINA to KOTA,8 hours 50 minutes
51611,KOTA to BINA,8 hours 50 minutes
12725,KRANTIVIRA S to DHARWAD,8 hours 50 minutes
12896,PURI to HOWRAH JN.,8 hours 50 minutes
20601,CHENNAI CENT to MADURAI JN,8 hours 50 minutes
15712,KATIHAR JN. to HOWRAH JN.,8 hours 50 minutes
15711,HOWRAH JN. to KATIHAR JN.,8 hours 50 minutes
15656,SHRI MATA VA to KAMAKHYA JN,8 hours 50 minutes
12888,PURI to HOWRAH JN.,8 hours 50 minutes
12656,CHENNAI CENT to AHMEDABAD,8 hours 50 minutes
57474,BODHAN to MAHBUBNAGAR,8 hours 50 minutes
8404,SANTRAGACHI to PURI,8 hours 50 minutes
16301,SHORANUR JN. to TRIVANDRUM C,8 hours 5 minutes
22805,BHUBANESWAR to ANAND VIHAR,8 hours 5 minutes
11423,SOLAPUR to HUBLI JN.,8 hours 5 minutes
12042,NEW JALPAIGU to HOWRAH JN.,8 hours 5 minutes
16308,KANNUR to ALLEPPEY,8 hours 5 minutes
12674,COIMBATORE to CHENNAI CENT,8 hours 5 minutes
15009,GORAKHPUR JN to GOMTINAGAR F,8 hours 5 minutes
16314,KANNUR to ALLEPPEY,8 hours 5 minutes
12147,CHHATRAPATI to HAZRAT NIZAM,8 hours 5 minutes
22866,PURI to LOKMANYA TIL,8 hours 5 minutes
12903,MUMBAI CENTR to AMRITSAR JN.,8 hours 5 minutes
12116,SOLAPUR to CST-MUMBAI,8 hours 5 minutes
12673,CHENNAI CENT to COIMBATORE,8 hours 5 minutes
14001,DELHI JN. to ATARI JN,8 hours 5 minutes
12115,CST-MUMBAI to SOLAPUR,8 hours 5 minutes
12459,NEW DELHI to AMRITSAR JN.,8 hours 5 minutes
54792,BHIWANI JN. to MATHURA JN.,8 hours 5 minutes
53348,BARWADIH JN to NSC BOSE J G,8 hours 5 minutes
63233,PATNA JN. to VARANASI JN.,8 hours 5 minutes
13319,DEOGHAR to RANCHI,8 hours 5 minutes
15640,KAMAKHYA JN to PURI,8 hours 5 minutes
12895,HOWRAH JN. to PURI,8 hours 45 minutes
18407,PURI to SAI NAGAR SH,8 hours 45 minutes
14682,JALANDHAR CI to NEW DELHI,8 hours 45 minutes
12881,HOWRAH JN. to PURI,8 hours 45 minutes
12298,PUNE JN. to AHMEDABAD,8 hours 45 minutes
12887,HOWRAH JN. to PURI,8 hours 45 minutes
12197,BHOPAL to GWALIOR JN,8 hours 45 minutes
50103,DADAR to RATNAGIRI,8 hours 45 minutes
22835,SHALIMAR to PURI,8 hours 45 minutes
18632,AJMER JN. to RANCHI,8 hours 45 minutes
15618,NAHARLAGUN to GUWAHATI,8 hours 45 minutes
53408,JAMALPUR JN. to RAMPUR HAT,8 hours 45 minutes
58505,GUNUPUR to VISAKHAPATNA,8 hours 45 minutes
54790,BIKANER JN. to REWARI JN.,8 hours 45 minutes
19410,GORAKHPUR JN to AHMEDABAD,8 hours 45 minutes
74838,PALANPUR JN to JODHPUR JN.,8 hours 45 minutes
19045,SURAT to CHHAPRA JN.,8 hours 45 minutes
12230,NEW DELHI to LUCKNOW JN.,8 hours 40 minutes
12198,GWALIOR JN to BHOPAL,8 hours 40 minutes
51673,ITARSI to SATNA,8 hours 40 minutes
12023,HOWRAH JN. to PATNA JN.,8 hours 40 minutes
12622,NEW DELHI to CHENNAI CENT,8 hours 40 minutes
54789,REWARI JN. to BIKANER JN.,8 hours 40 minutes
12297,AHMEDABAD to PUNE JN.,8 hours 40 minutes
11266,AMBIKAPUR to JABALPUR,8 hours 40 minutes
12051,DADAR to MADGOAN JN.,8 hours 40 minutes
11097,PUNE JN. to ERNAKULAM. J,8 hours 40 minutes
59426,PALANPUR JN to NEW BHUJ,8 hours 40 minutes
12870,HOWRAH JN. to CST-MUMBAI,8 hours 40 minutes
22928,AHMEDABAD to BANDRA TERMI,8 hours 40 minutes
11013,LOKMANYA TIL to COIMBATORE,8 hours 40 minutes
22927,BANDRA TERMI to AHMEDABAD,8 hours 40 minutes
54758,SHRI GANGANA to AMBALA CANTT,8 hours 40 minutes
22205,CHENNAI CENT to MADURAI JN,8 hours 40 minutes
55753,ALIPUR DUAR to GUWAHATI,8 hours 40 minutes
19407,AHMEDABAD to VARANASI JN.,8 hours 40 minutes
22888,YESVANTPUR J to HOWRAH JN.,8 hours 35 minutes
53345,CHOPAN to ALLAHABAD JN,8 hours 35 minutes
53231,TILAIYA to DANAPUR,8 hours 35 minutes
12589,GORAKHPUR JN to SECUNDERABAD,8 hours 35 minutes
12052,MADGOAN JN. to DADAR,8 hours 35 minutes
22206,MADURAI JN to CHENNAI CENT,8 hours 35 minutes
71414,SOLAPUR to PUNE JN.,8 hours 35 minutes
51813,JHANSI JN to LUCKNOW JN.,8 hours 35 minutes
51830,ITARSI to NAGPUR JN.(C,8 hours 35 minutes
14119,KATHGODAM to DEHRA DUN,8 hours 35 minutes
12209,KANPUR CENTR to KATHGODAM,8 hours 35 minutes
17234,BALHARSHAH to SECUNDERABAD,8 hours 35 minutes
22213,SHALIMAR to PATNA JN.,8 hours 35 minutes
18698,PATNA JN. to PURNEA COURT,8 hours 30 minutes
12655,AHMEDABAD to CHENNAI CENT,8 hours 30 minutes
15766,DHUBRI to SILIGURI JN.,8 hours 30 minutes
55664,SILCHAR to AGARTALA,8 hours 30 minutes
56262,KRANTIVIRA S to ARAKKONAM JN,8 hours 30 minutes
12838,PURI to HOWRAH JN.,8 hours 30 minutes
12901,MUMBAI CENTR to AHMEDABAD,8 hours 30 minutes
12025,PUNE JN. to SECUNDERABAD,8 hours 30 minutes
22120,KARMALI to CST-MUMBAI,8 hours 30 minutes
16615,MANNARGUDI to COIMBATORE,8 hours 30 minutes
12822,PURI to HOWRAH JN.,8 hours 30 minutes
13320,RANCHI to DEOGHAR,8 hours 30 minutes
12001,HABIBGANJ to NEW DELHI,8 hours 30 minutes
11465,SOMNATH to JABALPUR,8 hours 30 minutes
22865,LOKMANYA TIL to PURI,8 hours 30 minutes
2026,KARMALI to CST-MUMBAI,8 hours 30 minutes
59722,HISAR JN to JAIPUR JN.,8 hours 30 minutes
