Train_No,Route,Journey_Duration
63541,ASANSOL MAIN to NSC BOSE J G,2 hours 0 minutes
34052,NAIHATI JN. to BUDGE BUDGE,2 hours 0 minutes
64202,KANPUR CENTR to LUCKNOW JN.,2 hours 0 minutes
17241,NARASAPUR to NIDADAVOLU J,2 hours 0 minutes
18006,JAGADALPUR to HOWRAH JN.,2 hours 0 minutes
33863,SEALDAH to BANGAON JN.,2 hours 0 minutes
43420,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43405,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
76833,TIRUCHIRAPPA to KARUR JN.,2 hours 0 minutes
43436,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43434,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43430,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43428,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43427,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
43426,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43425,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
43424,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
74683,KHEM KARAN to BHAGTANWALA,2 hours 0 minutes
43409,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
76840,KARAIKKUDI to TIRUCHIRAPPA,2 hours 0 minutes
43422,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43421,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
33849,SEALDAH to BANGAON JN.,2 hours 0 minutes
43419,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
43414,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43412,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
43411,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
33852,BANGAON JN. to SEALDAH,2 hours 0 minutes
64556,MEERUT CITY to ANAND VIHAR,2 hours 0 minutes
54224,RAGHURAJ SIN to RAE BARELI J,2 hours 0 minutes
55324,RAMNAGAR to MORADABAD JN,2 hours 0 minutes
74304,MORADABAD JN to SAMBAHAL HAT,2 hours 0 minutes
74303,SAMBAHAL HAT to MORADABAD JN,2 hours 0 minutes
74302,MORADABAD JN to SAMBAHAL HAT,2 hours 0 minutes
78825,DALLI-RAJHAR to DURG,2 hours 0 minutes
78826,DALLI-RAJHAR to DURG,2 hours 0 minutes
78827,DURG to DALLI-RAJHAR,2 hours 0 minutes
55240,MUZAFFARPUR to SAMASTIPUR J,2 hours 0 minutes
55305,MORADABAD JN to RAMNAGAR,2 hours 0 minutes
40612,CHENGALPATTU to CHENNAI BEAC,2 hours 0 minutes
33844,BANGAON JN. to SEALDAH,2 hours 0 minutes
40573,CHENNAI BEAC to CHENGALPATTU,2 hours 0 minutes
55361,BAREILLY CIT to PILIBHIT JN.,2 hours 0 minutes
55363,BAREILLY CIT to PILIBHIT JN.,2 hours 0 minutes
55365,BAREILLY CIT to PILIBHIT JN.,2 hours 0 minutes
55367,BAREILLY CIT to PILIBHIT JN.,2 hours 0 minutes
55368,PILIBHIT JN. to BAREILLY CIT,2 hours 0 minutes
55526,SAMASTIPUR J to BARAUNI JN.,2 hours 0 minutes
67269,KAZIPET JN. to DORNAKAL JN.,2 hours 0 minutes
74611,BANIHAL to BUDGAM,2 hours 0 minutes
66050,TIRUPATI to ARAKKONAM JN,2 hours 0 minutes
66039,ARAKKONAM JN to TIRUPATI,2 hours 0 minutes
78824,DURG to DALLI-RAJHAR,2 hours 0 minutes
33843,SEALDAH to BANGAON JN.,2 hours 0 minutes
37849,HOWRAH JN. to BARDDHAMAN J,2 hours 0 minutes
54262,JAUNPUR JN. to VARANASI JN.,2 hours 0 minutes
33828,BANGAON JN. to SEALDAH,2 hours 0 minutes
64555,ANAND VIHAR to MEERUT CITY,2 hours 0 minutes
43438,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
33819,SEALDAH to BANGAON JN.,2 hours 0 minutes
64913,DELHI JN. to ROHTAK JN.,2 hours 0 minutes
74642,AMRITSAR JN. to JALANDHAR CI,2 hours 0 minutes
66010,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
66011,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
33802,BANGAON JN. to SEALDAH,2 hours 0 minutes
66026,SULLURUPETTA to MOOR MARKET,2 hours 0 minutes
74635,BANIHAL to BUDGAM,2 hours 0 minutes
66028,SULLURUPETTA to MOOR MARKET,2 hours 0 minutes
66032,NELLORE to SULLURUPETTA,2 hours 0 minutes
74612,BUDGAM to BANIHAL,2 hours 0 minutes
43437,MOOR MARKET to ARAKKONAM JN,2 hours 0 minutes
74981,KOT KAPURA J to FAZILKA JN.,2 hours 0 minutes
43404,ARAKKONAM JN to MOOR MARKET,2 hours 0 minutes
56107,SALEM JN. to KARUR JN.,2 hours 0 minutes
52265,BAHRAICH to NEPALGANJ RO,2 hours 0 minutes
52266,NEPALGANJ RO to BAHRAICH,2 hours 0 minutes
53015,KATWA JN. to AZIMGANJ JN.,2 hours 0 minutes
15040,KASGANJ JN. to FARRUKHABAD,2 hours 0 minutes
59710,SURATGARH JN to ANUPGARH,2 hours 0 minutes
53014,AZIMGANJ JN. to KATWA JN.,2 hours 0 minutes
52268,NEPALGANJ RO to BAHRAICH,2 hours 0 minutes
53013,KATWA JN. to AZIMGANJ JN.,2 hours 0 minutes
53011,KATWA JN. to AZIMGANJ JN.,2 hours 0 minutes
56115,MAYILADUTURA to THANJAVUR JN,2 hours 0 minutes
14005,SITAMARHI to ANAND VIHAR,2 hours 0 minutes
51259,WARDHA JN. to NAGPUR JN.(C,2 hours 0 minutes
34839,DIAMOND HARB to SEALDAH,2 hours 0 minutes
38409,HOWRAH JN. to PANSKURA,2 hours 0 minutes
52593,DARJEELING to DARJEELING,2 hours 0 minutes
52599,DARJEELING to DARJEELING,2 hours 0 minutes
52598,DARJEELING to DARJEELING,2 hours 0 minutes
56108,KARUR JN. to SALEM JN.,2 hours 0 minutes
52594,DARJEELING to DARJEELING,2 hours 0 minutes
38419,HOWRAH JN. to PANSKURA,2 hours 0 minutes
54787,BHIWANI JN. to REWARI JN.,2 hours 0 minutes
52596,DARJEELING to DARJEELING,2 hours 0 minutes
52264,NEPALGANJ RO to BAHRAICH,2 hours 0 minutes
56301,ALLEPPEY to QUILON,2 hours 0 minutes
56308,TRIVANDRUM C to QUILON,2 hours 0 minutes
43797,VELACHEERY to PATTABIRAM E,2 hours 0 minutes
63526,ASANSOL MAIN to BARDDHAMAN J,2 hours 0 minutes
63516,ASANSOL MAIN to BARDDHAMAN J,2 hours 0 minutes
52225,PILIBHIT JN. to MAILANI JN.,2 hours 0 minutes
53031,AZIMGANJ JN. to RAMPUR HAT,2 hours 0 minutes
12168,VARANASI JN. to LOKMANYA TIL,2 hours 0 minutes
74968,LOHIAN KHAS to LUDHIANA JN.,2 hours 0 minutes
43791,VELACHEERY to PATTABIRAM E,2 hours 0 minutes
56333,EDAMANN to QUILON,2 hours 0 minutes
36842,BARDDHAMAN J to HOWRAH JN.,2 hours 0 minutes
43793,VELACHEERY to PATTABIRAM E,2 hours 0 minutes
59360,MATHURA JN. to BAYANA,2 hours 0 minutes
74966,LOHIAN KHAS to LUDHIANA JN.,2 hours 0 minutes
56315,TRIVANDRUM C to NAGERCOIL JN,2 hours 0 minutes
38451,HOWRAH JN. to PANSKURA,2 hours 0 minutes
43823,CHENNAI BEAC to TIRUTTANI,2 hours 0 minutes
51766,MANIKPUR JN. to SATNA,2 hours 0 minutes
52263,BAHRAICH to NEPALGANJ RO,2 hours 0 minutes
56311,TRIVANDRUM C to NAGERCOIL JN,2 hours 0 minutes
56310,NAGERCOIL JN to TRIVANDRUM C,2 hours 0 minutes
52595,DARJEELING to DARJEELING,2 hours 0 minutes
19573,OKHA to JAIPUR JN.,19 hours 55 minutes
22109,LOKMANYA TIL to HAZRAT NIZAM,19 hours 55 minutes
12975,MYSORE JN. to JAIPUR JN.,19 hours 55 minutes
11111,"GWALIOR JN to BALRAMPUR,",19 hours 55 minutes
12305,HOWRAH JN. to NEW DELHI,19 hours 55 minutes
2191,JABALPUR to SANTRAGACHI,19 hours 50 minutes
18235,BHOPAL to BILASPUR JN.,19 hours 50 minutes
82654,JAIPUR JN. to YESVANTPUR J,19 hours 50 minutes
54252,SAHARANPUR J to LUCKNOW JN.,19 hours 50 minutes
82653,YESVANTPUR J to JAIPUR JN.,19 hours 5 minutes
18192,FARRUKHABAD to CHHAPRA JN.,19 hours 5 minutes
20889,HOWRAH JN. to VIJAYWADA JN,19 hours 5 minutes
12435,DIBRUGARH TO to NEW DELHI,19 hours 45 minutes
53132,MUZAFFARPUR to SEALDAH,19 hours 45 minutes
7608,TIRUPATI to NANDED,19 hours 45 minutes
12905,PORBANDAR to HOWRAH JN.,19 hours 45 minutes
12263,PUNE JN. to HAZRAT NIZAM,19 hours 45 minutes
57258,KAKINADA POR to TIRUPATI,19 hours 45 minutes
13138,AZAMGARH to KOLKATA,19 hours 45 minutes
11091,NEW BHUJ to PUNE JN.,19 hours 45 minutes
18311,SAMBALPUR JN to VARANASI JN.,19 hours 45 minutes
22423,GORAKHPUR JN to AMRITSAR JN.,19 hours 45 minutes
17209,KRANTIVIRA S to KAKINADA TOW,19 hours 45 minutes
22475,BIKANER JN. to COIMBATORE,19 hours 40 minutes
12401,ISLAMPUR to NEW DELHI,19 hours 40 minutes
57257,TIRUPATI to KAKINADA POR,19 hours 40 minutes
3501,JASIDIH JN. to ANAND VIHAR,19 hours 40 minutes
56502,HUBLI JN. to VIJAYWADA JN,19 hours 40 minutes
19602,NEW JALPAIGU to UDAIPUR CITY,19 hours 40 minutes
12235,DIBRUGARH to NEW DELHI,19 hours 40 minutes
12558,ANAND VIHAR to MUZAFFARPUR,19 hours 35 minutes
12906,HOWRAH JN. to PORBANDAR,19 hours 35 minutes
22829,NEW BHUJ to SHALIMAR,19 hours 35 minutes
12254,BHAGALPUR to YESVANTPUR J,19 hours 35 minutes
18449,PURI to PATNA JN.,19 hours 35 minutes
19312,INDORE BG to PUNE JN.,19 hours 35 minutes
19260,BHAVNAGAR TE to KOCHUVELI,19 hours 35 minutes
11058,AMRITSAR JN. to CST-MUMBAI,19 hours 35 minutes
17415,TIRUPATI to CHHATRAPATI,19 hours 35 minutes
1655,PUNE JN. to JABALPUR,19 hours 30 minutes
22424,AMRITSAR JN. to GORAKHPUR JN,19 hours 30 minutes
16614,COIMBATORE to RAJKOT,19 hours 30 minutes
19612,AMRITSAR JN. to AJMER JN.,19 hours 30 minutes
11092,PUNE JN. to NEW BHUJ,19 hours 30 minutes
12349,BHAGALPUR to NEW DELHI,19 hours 30 minutes
12937,GANDHIDHAM J to HOWRAH JN.,19 hours 25 minutes
14370,BAREILLY JN. to SINGRAULI,19 hours 25 minutes
12294,ALLAHABAD JN to LOKMANYA TIL,19 hours 25 minutes
20890,VIJAYWADA JN to HOWRAH JN.,19 hours 25 minutes
16526,KRANTIVIRA S to KANNIYAKUMAR,19 hours 20 minutes
22632,BIKANER JN. to CHENNAI CENT,19 hours 20 minutes
12306,NEW DELHI to HOWRAH JN.,19 hours 20 minutes
6580,VISAKHAPATNA to YESVANTPUR J,19 hours 20 minutes
14217,PRAYAG JN. to CHANDIGARH,19 hours 20 minutes
15635,OKHA to GUWAHATI,19 hours 20 minutes
12666,KANNIYAKUMAR to HOWRAH JN.,19 hours 20 minutes
12878,NEW DELHI to RANCHI,19 hours 20 minutes
22128,KAZIPET JN. to LOKMANYA TIL,19 hours 15 minutes
7607,NANDED to TIRUPATI,19 hours 15 minutes
18312,VARANASI JN. to SAMBALPUR JN,19 hours 15 minutes
22127,LOKMANYA TIL to KAZIPET JN.,19 hours 15 minutes
12557,MUZAFFARPUR to ANAND VIHAR,19 hours 15 minutes
15049,KOLKATA to GORAKHPUR JN,19 hours 15 minutes
12293,LOKMANYA TIL to ALLAHABAD JN,19 hours 10 minutes
2192,SANTRAGACHI to JABALPUR,19 hours 10 minutes
22852,MANGALORE CE to SANTRAGACHI,19 hours 0 minutes
16508,KRANTIVIRA S to JODHPUR JN.,19 hours 0 minutes
22684,LUCKNOW JN. to YESVANTPUR J,19 hours 0 minutes
4832,HARIDWAR JN to JODHPUR JN.,19 hours 0 minutes
12253,YESVANTPUR J to BHAGALPUR,19 hours 0 minutes
22683,YESVANTPUR J to LUCKNOW JN.,19 hours 0 minutes
12908,HAZRAT NIZAM to BANDRA TERMI,19 hours 0 minutes
17210,KAKINADA TOW to KRANTIVIRA S,18 hours 55 minutes
15909,DIBRUGARH to LALGARH JN.,18 hours 55 minutes
12742,PATNA JN. to VASCO-DA-GAM,18 hours 55 minutes
22933,BANDRA TERMI to JAIPUR JN.,18 hours 55 minutes
11050,CHHATRAPATI to AHMEDABAD,18 hours 55 minutes
13257,DANAPUR to ANAND VIHAR,18 hours 55 minutes
12979,BANDRA TERMI to JAIPUR JN.,18 hours 55 minutes
22934,JAIPUR JN. to BANDRA TERMI,18 hours 50 minutes
22664,JODHPUR JN. to CHENNAI EGMO,18 hours 50 minutes
18204,KANPUR CENTR to DURG,18 hours 50 minutes
22405,BHAGALPUR to ANAND VIHAR,18 hours 50 minutes
18181,TATANAGAR JN to CHHAPRA JN.,18 hours 50 minutes
17420,VASCO-DA-GAM to TIRUPATI,18 hours 50 minutes
12669,CHENNAI CENT to CHHAPRA JN.,18 hours 5 minutes
12284,HAZRAT NIZAM to ERNAKULAM. J,18 hours 5 minutes
57305,KACHEGUDA to GUNTUR JN.,18 hours 5 minutes
17058,SECUNDERABAD to CST-MUMBAI,18 hours 45 minutes
11406,AMRAVATI to PUNE JN.,18 hours 45 minutes
22663,CHENNAI EGMO to JODHPUR JN.,18 hours 45 minutes
12402,NEW DELHI to ISLAMPUR,18 hours 45 minutes
13106,BALLIA to SEALDAH,18 hours 45 minutes
13137,KOLKATA to AZAMGARH,18 hours 40 minutes
17419,TIRUPATI to VASCO-DA-GAM,18 hours 40 minutes
12470,JAMMU TAWI to KANPUR CENTR,18 hours 40 minutes
51188,KATNI to BHUSAVAL JN.,18 hours 40 minutes
16779,TIRUPATI to RAMESWARAM,18 hours 35 minutes
1656,JABALPUR to PUNE JN.,18 hours 35 minutes
22168,HAZRAT NIZAM to SINGRAULI,18 hours 35 minutes
14660,JAISALMER to DELHI JN.,18 hours 30 minutes
12469,KANPUR CENTR to JAMMU TAWI,18 hours 30 minutes
12454,NEW DELHI to RANCHI,18 hours 30 minutes
18010,AJMER JN. to SANTRAGACHI,18 hours 30 minutes
17211,MACHILIPATNA to YESVANTPUR J,18 hours 30 minutes
15601,SILCHAR to NEW DELHI,18 hours 30 minutes
17321,HUBLI JN. to LOKMANYA TIL,18 hours 25 minutes
53131,SEALDAH to MUZAFFARPUR,18 hours 25 minutes
53403,RAMPUR HAT to GAYA JN.,18 hours 22 minutes
18191,CHHAPRA JN. to FARRUKHABAD,18 hours 20 minutes
19020,DEHRA DUN to BANDRA TERMI,18 hours 20 minutes
12192,JABALPUR to NEW DELHI,18 hours 20 minutes
54703,ABOHAR to JODHPUR JN.,18 hours 20 minutes
16780,RAMESWARAM to TIRUPATI,18 hours 15 minutes
12517,KOLKATA to GUWAHATI,18 hours 15 minutes
14511,ALLAHABAD JN to SAHARANPUR J,18 hours 15 minutes
12665,HOWRAH JN. to KANNIYAKUMAR,18 hours 15 minutes
11112,"BALRAMPUR, to GWALIOR JN",18 hours 15 minutes
15052,GORAKHPUR JN to KOLKATA,18 hours 15 minutes
2833,RAJKOT to SANTRAGACHI,18 hours 15 minutes
12413,AJMER JN. to JAMMU TAWI,18 hours 15 minutes
16337,OKHA to ERNAKULAM. J,18 hours 15 minutes
16505,GANDHIDHAM J to KRANTIVIRA S,18 hours 15 minutes
18450,PATNA JN. to PURI,18 hours 15 minutes
14218,CHANDIGARH to PRAYAG JN.,18 hours 15 minutes
19607,KOLKATA to MADAR JN,18 hours 15 minutes
19601,UDAIPUR CITY to NEW JALPAIGU,18 hours 15 minutes
19331,KOCHUVELI to INDORE BG,18 hours 15 minutes
17643,CHENGALPATTU to KAKINADA POR,18 hours 10 minutes
22404,NEW DELHI to PONDICHERRY,18 hours 10 minutes
57561,KACHEGUDA to MANMAD JN.,18 hours 10 minutes
14659,DELHI JN. to JAISALMER,18 hours 10 minutes
12414,JAMMU TAWI to AJMER JN.,18 hours 10 minutes
12877,RANCHI to NEW DELHI,18 hours 10 minutes
17323,HUBLI JN. to VARANASI JN.,18 hours 10 minutes
22945,MUMBAI CENTR to OKHA,18 hours 0 minutes
12345,HOWRAH JN. to GUWAHATI,18 hours 0 minutes
18448,JAGADALPUR to BHUBANESWAR,18 hours 0 minutes
13022,RAXAUL JN. to HOWRAH JN.,18 hours 0 minutes
12432,HAZRAT NIZAM to TRIVANDRUM C,18 hours 0 minutes
16094,LUCKNOW JN. to CHENNAI CENT,18 hours 0 minutes
57326,GUNTUR JN. to KACHEGUDA,18 hours 0 minutes
18182,CHHAPRA JN. to TATANAGAR JN,18 hours 0 minutes
13258,ANAND VIHAR to DANAPUR,18 hours 0 minutes
6046,QUILON to CHENNAI CENT,18 hours 0 minutes
12518,GUWAHATI to KOLKATA,18 hours 0 minutes
22946,OKHA to MUMBAI CENTR,18 hours 0 minutes
12181,JABALPUR to AJMER JN.,17 hours 55 minutes
18574,BHAGAT-KI-KO to VISAKHAPATNA,17 hours 55 minutes
18237,BILASPUR JN. to AMRITSAR JN.,17 hours 55 minutes
12980,JAIPUR JN. to BANDRA TERMI,17 hours 55 minutes
19302,YESVANTPUR J to INDORE BG,17 hours 55 minutes
51187,BHUSAVAL JN. to KATNI,17 hours 55 minutes
11272,BHOPAL to ITARSI,17 hours 55 minutes
19311,PUNE JN. to INDORE BG,17 hours 55 minutes
17644,KAKINADA POR to CHENGALPATTU,17 hours 50 minutes
22406,ANAND VIHAR to BHAGALPUR,17 hours 50 minutes
12955,MUMBAI CENTR to JAIPUR JN.,17 hours 50 minutes
12535,LUCKNOW JN. to RAIPUR JN.,17 hours 5 minutes
51434,PANDHARPUR to NIZAMABAD,17 hours 5 minutes
12247,BANDRA TERMI to HAZRAT NIZAM,17 hours 5 minutes
12995,BANDRA TERMI to UDAIPUR CITY,17 hours 5 minutes
14512,SAHARANPUR J to ALLAHABAD JN,17 hours 5 minutes
12301,HOWRAH JN. to NEW DELHI,17 hours 5 minutes
16724,QUILON to CHENNAI EGMO,17 hours 5 minutes
12741,VASCO-DA-GAM to PATNA JN.,17 hours 5 minutes
12909,BANDRA TERMI to HAZRAT NIZAM,17 hours 5 minutes
22966,BHAGAT-KI-KO to BANDRA TERMI,17 hours 5 minutes
57272,RAYAGADA JN. to VIJAYWADA JN,17 hours 45 minutes
12314,NEW DELHI to SEALDAH,17 hours 45 minutes
12248,HAZRAT NIZAM to BANDRA TERMI,17 hours 45 minutes
15026,ANAND VIHAR to MAU JN.,17 hours 45 minutes
16565,YESVANTPUR J to MANGALORE CE,17 hours 45 minutes
15051,KOLKATA to GORAKHPUR JN,17 hours 45 minutes
15417,ALIPUR DUAR to SILGHAT TOWN,17 hours 45 minutes
22612,NEW JALPAIGU to CHENNAI CENT,17 hours 45 minutes
12959,DADAR to NEW BHUJ,17 hours 45 minutes
12956,JAIPUR JN. to MUMBAI CENTR,17 hours 40 minutes
20812,NANDED to VISAKHAPATNA,17 hours 40 minutes
22851,SANTRAGACHI to MANGALORE CE,17 hours 40 minutes
20502,ANAND VIHAR to AGARTALA,17 hours 40 minutes
18447,BHUBANESWAR to JAGADALPUR,17 hours 40 minutes
12989,DADAR to AJMER JN.,17 hours 40 minutes
1301,PUNE JN. to MANGALORE JN,17 hours 40 minutes
18203,DURG to KANPUR CENTR,17 hours 40 minutes
12453,RANCHI to NEW DELHI,17 hours 40 minutes
20811,VISAKHAPATNA to NANDED,17 hours 35 minutes
6541,YESVANTPUR J to PANDHARPUR,17 hours 35 minutes
12313,SEALDAH to NEW DELHI,17 hours 35 minutes
13141,SEALDAH to NEW ALIPURDU,17 hours 35 minutes
12917,AHMEDABAD to HAZRAT NIZAM,17 hours 35 minutes
22502,NEW TINSUKIA to KRANTIVIRA S,17 hours 35 minutes
22843,BILASPUR JN. to PATNA JN.,17 hours 35 minutes
22501,KRANTIVIRA S to NEW TINSUKIA,17 hours 35 minutes
22611,CHENNAI CENT to NEW JALPAIGU,17 hours 30 minutes
22844,PATNA JN. to BILASPUR JN.,17 hours 30 minutes
12960,NEW BHUJ to DADAR,17 hours 30 minutes
12189,JABALPUR to HAZRAT NIZAM,17 hours 30 minutes
12938,HOWRAH JN. to GANDHIDHAM J,17 hours 30 minutes
12651,MADURAI JN to HAZRAT NIZAM,17 hours 30 minutes
22944,INDORE BG to PUNE JN.,17 hours 30 minutes
12190,HAZRAT NIZAM to JABALPUR,17 hours 30 minutes
59547,AHMEDABAD to OKHA,17 hours 30 minutes
18118,GUNUPUR to ROURKELA,17 hours 30 minutes
19019,BANDRA TERMI to DEHRA DUN,17 hours 30 minutes
12993,GANDHIDHAM J to PURI,17 hours 25 minutes
57271,VIJAYWADA JN to RAYAGADA JN.,17 hours 25 minutes
58529,DURG to VISAKHAPATNA,17 hours 25 minutes
11078,JAMMU TAWI to PUNE JN.,17 hours 25 minutes
17613,PANVEL to NANDED,17 hours 25 minutes
12670,CHHAPRA JN. to CHENNAI CENT,17 hours 25 minutes
12431,TRIVANDRUM C to HAZRAT NIZAM,17 hours 25 minutes
57562,MANMAD JN. to KACHEGUDA,17 hours 25 minutes
12555,GORAKHPUR JN to HISAR JN,17 hours 25 minutes
12556,HISAR JN to GORAKHPUR JN,17 hours 25 minutes
13426,SURAT to MALDA TOWN,17 hours 25 minutes
16857,PONDICHERRY to MANGALORE CE,17 hours 20 minutes
57325,KACHEGUDA to GUNTUR JN.,17 hours 20 minutes
17057,CST-MUMBAI to SECUNDERABAD,17 hours 20 minutes
12990,AJMER JN. to DADAR,17 hours 20 minutes
15047,KOLKATA to GORAKHPUR JN,17 hours 15 minutes
11012,NANDED to LOKMANYA TIL,17 hours 15 minutes
12182,AJMER JN. to JABALPUR,17 hours 15 minutes
12953,MUMBAI CENTR to HAZRAT NIZAM,17 hours 15 minutes
22138,AHMEDABAD to NAGPUR JN.(C,17 hours 15 minutes
16566,MANGALORE CE to YESVANTPUR J,17 hours 15 minutes
22209,MUMBAI CENTR to NEW DELHI,17 hours 15 minutes
12994,PURI to GANDHIDHAM J,17 hours 15 minutes
19711,JAIPUR JN. to BHOPAL,17 hours 15 minutes
15068,BANDRA TERMI to GORAKHPUR JN,17 hours 15 minutes
7008,DARBHANGA JN to SECUNDERABAD,17 hours 10 minutes
16723,CHENNAI EGMO to QUILON,17 hours 10 minutes
17019,JAIPUR JN. to HYDERABAD DE,17 hours 10 minutes
17031,CST-MUMBAI to HYDERABAD DE,17 hours 10 minutes
12191,NEW DELHI to JABALPUR,17 hours 10 minutes
18425,PURI to DURG,17 hours 10 minutes
15636,GUWAHATI to OKHA,17 hours 10 minutes
17038,BIKANER JN. to SECUNDERABAD,17 hours 10 minutes
16235,TUTICORIN to MYSORE JN.,17 hours 10 minutes
51828,JHANSI JN to ITARSI,17 hours 10 minutes
15204,LUCKNOW JN. to BARAUNI JN.,17 hours 0 minutes
12480,BANDRA TERMI to JODHPUR JN.,17 hours 0 minutes
11057,CST-MUMBAI to AMRITSAR JN.,17 hours 0 minutes
15025,MAU JN. to ANAND VIHAR,17 hours 0 minutes
11405,PUNE JN. to AMRAVATI,17 hours 0 minutes
12440,NEW DELHI to RANCHI,17 hours 0 minutes
18426,DURG to PURI,17 hours 0 minutes
18606,JAYNAGAR to RANCHI,17 hours 0 minutes
15721,DIGHA FS to NEW JALPAIGU,17 hours 0 minutes
14258,NEW DELHI to VARANASI JN.,17 hours 0 minutes
12259,SEALDAH to NEW DELHI,17 hours 0 minutes
6048,QUILON to CHENNAI CENT,17 hours 0 minutes
12954,HAZRAT NIZAM to MUMBAI CENTR,16 hours 55 minutes
22943,PUNE JN. to INDORE BG,16 hours 55 minutes
15048,GORAKHPUR JN to KOLKATA,16 hours 55 minutes
22137,NAGPUR JN.(C to AHMEDABAD,16 hours 55 minutes
16855,PONDICHERRY to MANGALORE CE,16 hours 55 minutes
16856,MANGALORE CE to PONDICHERRY,16 hours 55 minutes
13164,SAHARSA JN. to SEALDAH,16 hours 55 minutes
16858,MANGALORE CE to PONDICHERRY,16 hours 55 minutes
11703,REWA to MHOW,16 hours 55 minutes
13043,HOWRAH JN. to RAXAUL JN.,16 hours 55 minutes
17037,SECUNDERABAD to BIKANER JN.,16 hours 55 minutes
13170,SAHARSA JN. to SEALDAH,16 hours 55 minutes
22901,BANDRA TERMI to UDAIPUR CITY,16 hours 55 minutes
18117,ROURKELA to GUNUPUR,16 hours 55 minutes
22403,PONDICHERRY to NEW DELHI,16 hours 55 minutes
12260,NEW DELHI to SEALDAH,16 hours 55 minutes
12302,NEW DELHI to HOWRAH JN.,16 hours 55 minutes
12439,RANCHI to NEW DELHI,16 hours 55 minutes
22965,BANDRA TERMI to BHAGAT-KI-KO,16 hours 55 minutes
13105,SEALDAH to BALLIA,16 hours 50 minutes
12250,ANAND VIHAR to HOWRAH JN.,16 hours 50 minutes
18212,JAGADALPUR to DURG,16 hours 50 minutes
12479,JODHPUR JN. to BANDRA TERMI,16 hours 50 minutes
19613,AJMER JN. to AMRITSAR JN.,16 hours 50 minutes
12941,BHAVNAGAR TE to ASANSOL MAIN,16 hours 50 minutes
17203,BHAVNAGAR TE to KAKINADA POR,16 hours 50 minutes
22210,NEW DELHI to MUMBAI CENTR,16 hours 50 minutes
13142,NEW ALIPURDU to SEALDAH,16 hours 50 minutes
15560,AHMEDABAD to DARBHANGA JN,16 hours 50 minutes
20501,AGARTALA to ANAND VIHAR,16 hours 50 minutes
22532,MATHURA JN. to CHHAPRA JN.,16 hours 5 minutes
16351,CST-MUMBAI to NAGERCOIL JN,16 hours 5 minutes
9006,NEW DELHI to MUMBAI CENTR,16 hours 5 minutes
11704,MHOW to REWA,16 hours 5 minutes
6044,QUILON to CHENNAI CENT,16 hours 5 minutes
12685,CHENNAI CENT to MANGALORE CE,16 hours 5 minutes
16315,KRANTIVIRA S to KOCHUVELI,16 hours 5 minutes
12698,TRIVANDRUM C to CHENNAI CENT,16 hours 5 minutes
63554,VARANASI JN. to ASANSOL MAIN,16 hours 5 minutes
12601,CHENNAI CENT to MANGALORE CE,16 hours 5 minutes
58527,RAIPUR JN. to VISAKHAPATNA,16 hours 5 minutes
15012,CHANDIGARH to LUCKNOW JN.,16 hours 5 minutes
12689,CHENNAI CENT to NAGERCOIL JN,16 hours 45 minutes
12690,NAGERCOIL JN to CHENNAI CENT,16 hours 45 minutes
12996,UDAIPUR CITY to BANDRA TERMI,16 hours 45 minutes
7505,AURANGABAD to QUILON,16 hours 45 minutes
12536,RAIPUR JN. to LUCKNOW JN.,16 hours 45 minutes
17212,YESVANTPUR J to MACHILIPATNA,16 hours 45 minutes
11077,PUNE JN. to JAMMU TAWI,16 hours 45 minutes
59355,RATLAM JN to MATHURA JN.,16 hours 45 minutes
12696,TRIVANDRUM C to CHENNAI CENT,16 hours 45 minutes
13150,ALIPUR DUAR to SEALDAH,16 hours 45 minutes
6542,PANDHARPUR to YESVANTPUR J,16 hours 45 minutes
12187,JABALPUR to CST-MUMBAI,16 hours 45 minutes
6041,CHENNAI CENT to QUILON,16 hours 40 minutes
13120,ANAND VIHAR to SEALDAH,16 hours 40 minutes
14649,JAYNAGAR to AMRITSAR JN.,16 hours 40 minutes
12249,HOWRAH JN. to ANAND VIHAR,16 hours 40 minutes
15005,GORAKHPUR JN to DEHRA DUN,16 hours 40 minutes
