Train_No,Total_Distance,Number_of_Stops
12177,1451,34
12178,1453,34
12179,323,14
12180,323,14
12181,1024,22
12182,1024,22
12183,754,11
12184,754,11
12185,555,15
12186,557,15
12187,996,15
12188,996,15
12189,937,29
12190,938,28
12191,1021,24
12192,1019,24
12193,1747,20
12194,1734,20
12195,375,14
12196,375,14
12197,484,11
12198,484,11
12201,1513,25
12202,1517,25
12203,1711,23
12204,1714,23
12205,304,7
12206,304,7
12207,768,16
12208,768,16
12209,415,12
12210,415,12
12211,1057,14
12212,1059,14
12213,2350,7
12214,2351,6
12215,1431,18
12216,1429,18
12217,3086,22
12218,3084,22
12219,774,4
12220,774,4
12221,2026,8
12222,2033,8
12223,1301,6
12224,1306,6
12225,795,15
12226,796,15
12227,831,5
12228,831,5
12229,492,9
12230,492,9
12231,644,16
12232,644,16
12235,2446,26
12236,2448,26
12237,1253,13
12238,1253,13
12239,1157,5
12240,1158,5
12241,247,6
12242,247,6
12243,491,6
12244,493,6
12245,1957,6
12246,1959,6
12247,1355,7
12248,1358,7
12249,1425,7
12250,1426,7
12251,1611,25
12252,1605,26
12253,2478,29
12254,2477,29
12257,798,19
12258,797,19
12259,1448,5
12260,1449,5
12261,1972,7
12262,1979,7
12263,1498,7
12264,1501,7
12265,577,3
12266,577,3
12267,490,2
12268,490,2
12269,2156,7
12270,2155,7
12273,1516,6
12274,1517,6
12275,629,2
12276,629,2
12277,504,8
12278,503,8
12279,385,11
12280,388,11
12281,1714,6
12282,1717,6
12283,2636,11
12284,2634,11
12285,1651,6
12286,1652,6
12289,841,4
12290,841,4
12291,364,7
12292,363,7
12293,1353,5
12294,1352,5
12295,2703,36
12296,2697,37
12297,623,4
12298,622,4
12301,1438,8
12302,1439,8
12303,1516,25
12304,1517,25
12305,1516,9
12306,1517,9
12307,1803,28
12308,1805,28
12309,987,6
12310,987,6
12311,1699,39
12312,1700,40
12313,1448,8
12314,1449,8
12315,2119,23
12316,2120,23
12317,1884,23
12318,1885,23
12319,1416,12
12320,1417,11
12321,2165,48
12322,2167,49
12323,1425,9
12324,1426,9
12325,1792,18
12326,1793,18
12327,1577,20
12328,1577,20
12329,1435,8
12330,1436,8
12331,2010,32
12332,2011,32
12333,878,31
12334,879,31
12335,1917,39
12336,1918,38
12337,146,4
12338,146,4
12339,258,13
12340,259,13
12341,199,7
12342,200,7
12343,571,6
12344,571,6
12345,1023,13
12346,1023,13
12347,206,9
12348,206,9
12349,1206,13
12350,1206,13
12351,528,23
12352,529,23
12353,1299,18
12354,1300,18
12355,1506,19
12356,1506,19
12357,1807,15
12358,1807,15
12359,534,13
12360,534,13
12361,2043,21
12362,2044,21
12363,621,11
12364,620,11
12365,410,12
12366,407,12
12367,1193,21
12368,1193,21
12369,1525,20
12370,1526,20
12371,2245,29
12372,2246,29
12373,217,7
12374,216,7
12375,1729,27
12376,1727,27
12377,718,10
12378,718,10
12379,1889,15
12380,1890,15
12381,1438,22
12382,1439,22
12383,221,9
12384,222,9
12389,2348,17
12390,2353,17
12391,1092,33
12392,1092,33
12393,987,5
12394,987,5
12395,1287,15
12396,1287,15
12397,981,15
12398,981,15
12401,1049,28
12402,1049,28
12405,1461,29
12406,1464,29
12407,1821,19
12408,1824,19
12409,1613,35
12410,1608,35
12411,247,9
12412,247,9
12413,1016,21
12414,1017,22
12415,815,23
12416,817,22
12417,624,6
12418,624,7
12419,504,16
12420,504,16
12421,1927,23
12422,1929,23
12423,2422,22
12424,2423,22
12425,576,5
12426,576,5
12427,844,12
12428,844,13
12431,2841,19
12432,2840,19
12433,2156,10
12434,2155,10
12435,2452,26
12436,2454,26
12437,1651,7
12438,1652,7
12439,1297,8
12440,1300,8
12441,1487,10
12442,1483,10
12443,1572,14
12444,1572,14
12445,654,11
12446,654,11
12447,676,12
12448,679,12
12449,2159,14
12450,2157,14
12451,430,3
12452,430,3
12453,1333,7
12454,1336,7
12455,790,21
12456,790,21
12457,455,14
12458,455,14
12459,447,15
12460,447,17
12461,618,18
12462,619,16
12463,614,8
12464,615,8
12465,905,29
12466,906,29
12467,700,22
12468,699,22
12469,1025,14
12470,1025,14
12471,2017,26
12472,2019,26
12473,1736,24
12474,1739,25
12475,2055,31
12476,2058,31
12477,2064,31
12478,2066,31
12479,934,17
12480,932,17
12481,409,15
12482,409,15
12483,3290,27
12484,3288,27
12485,1937,27
12486,1940,27
12487,1364,19
12488,1364,19
12489,1244,22
12490,1244,22
12491,1609,22
12492,1612,22
12493,1498,10
12494,1501,10
12495,1878,20
12496,1876,20
12497,447,14
12498,447,15
12501,1914,10
12502,1914,10
12503,3032,23
12504,3032,23
12505,1850,30
12506,1850,29
12507,3932,58
12508,3930,56
12509,2992,42
12510,2993,41
12511,3239,61
12512,3245,60
12513,2564,31
12514,2567,30
12515,3932,57
12516,3930,56
12517,1027,14
12518,1027,14
12519,2568,28
12520,2567,28
12521,3427,63
12522,3435,62
12523,1496,18
12524,1499,18
12525,1584,23
12526,1583,23
12527,395,11
12529,518,10
12530,522,10
12531,277,12
12532,278,12
12533,1424,16
12534,1423,15
12535,903,13
12536,905,12
12537,543,15
12538,543,15
12539,2548,18
12540,2541,18
12541,1685,16
12542,1686,16
12545,2045,21
12546,2045,21
12547,866,12
12548,864,12
12549,1847,18
12550,1858,18
12551,3024,29
12552,3024,29
12553,1167,21
12554,1170,21
12555,952,15
12556,953,15
12557,1057,16
12558,1059,16
12559,745,4
12560,745,4
12561,1223,22
